lat(degree),lon(degree),time(h),sntmt_AFINN(_),sntmt_NLTK_comp(_),sntmt_NLTK_neg(_),sntmt_NLTK_neu(_),sntmt_NLTK_pos(_),temp(C),temp_max(C),temp_min(C),humidity(%),pressure(hPa),sky(__),sunrise(h),sunset(h),wind(m/s),wind_deg(degree),cloudiness(%),rain_3h(mm),snow_3h(mm)
32.7757,-96.7967,18.98,2,0.3612,0.0,0.615,0.385,28.8,31,25,62,1012,Thunderstorm,7.95,21.0,6.2,70,1,nan,nan
29.7805,-95.3863,18.98,0,0.0,0.0,1.0,0.0,31.46,33,30,70,1009,Clear,7.91666666667,20.85,3.1,160,1,nan,nan
33.5722,-112.088,16.9802777778,0,0.0,0.0,1.0,0.0,38.09,39,37,18,1006,Clear,8.95,22.0333333333,2.1,240,1,nan,nan
42.332,-71.0202,19.9805555556,0,0.0,0.0,1.0,0.0,22.01,24,20,72,1013,Clear,6.03333333333,19.4833333333,1.81,147.502,1,nan,nan
32.7757,-96.7967,18.9805555556,-8,-0.306966666667,0.173,0.827,0.0,28.8,31,25,62,1012,Thunderstorm,7.95,21.0,6.2,70,1,nan,nan
41.8376,-87.6818,18.9813888889,3,0.0834,0.111,0.722666666667,0.166333333333,19.55,21,18,68,1020,Clear,7.15,20.5666666667,5.1,30,1,nan,nan
30.3072,-97.756,18.9830555556,0,0.0,0.0,1.0,0.0,30.46,32,29,62,1011,Clouds,8.05,21.0166666667,4.6,130,90,nan,nan
40.6643,-73.9385,19.9833333333,0,0.0,0.0,1.0,0.0,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
30.3072,-97.756,18.9838888889,1,0.0772,0.0,0.822,0.178,30.46,32,29,62,1011,Clouds,8.05,21.0166666667,4.6,130,90,nan,nan
29.7805,-95.3863,18.9841666667,-2,0.3493,0.051,0.808,0.141,31.46,33,30,70,1009,Clear,7.91666666667,20.85,3.1,160,1,nan,nan
34.0194,-118.4108,16.9847222222,2,0.3818,0.167,0.517,0.316,25.58,31,22,64,1009,Clear,9.35,22.45,2.1,None,1,nan,nan
40.0094,-75.1333,19.9847222222,-2,-0.765,0.337,0.663,0.0,23.67,26,21,56,1015,Clear,6.36666666667,19.7,2.06,314.002,1,nan,nan
40.0094,-75.1333,19.9855555556,-2,-0.3818,0.219,0.613,0.168,23.67,26,21,56,1015,Clear,6.36666666667,19.7,2.06,314.002,1,nan,nan
39.3002,-76.6105,19.9855555556,3,0.6703,0.062,0.483,0.4555,23.7,27,20,60,1015,Clouds,6.46666666667,19.7833333333,2.61,300.502,75,nan,nan
40.6643,-73.9385,19.9858333333,0,0.0,0.0,1.0,0.0,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
40.6643,-73.9385,19.9863888889,3,0.34,0.0,0.862,0.138,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
29.7805,-95.3863,18.9866666667,0,0.4767,0.0,0.886,0.114,31.46,33,30,70,1009,Clear,7.91666666667,20.85,3.1,160,1,nan,nan
41.8376,-87.6818,18.9880555556,0,0.0,0.0,1.0,0.0,19.55,21,18,68,1020,Clear,7.15,20.5666666667,5.1,30,1,nan,nan
37.7751,-122.4193,16.9883333333,0,0.0,0.0,1.0,0.0,22.76,29,18,47,1010,Clear,9.56666666667,22.8,3.6,210,1,nan,nan
39.7767,-86.1459,19.9886111111,0,0.0,0.0,1.0,0.0,23.23,25,21,60,1018,Clouds,7.1,20.4333333333,2.1,340,40,nan,nan
39.9848,-82.985,19.9891666667,0,-0.0516,0.282,0.455,0.264,20.89,22,19,46,1017,Clouds,6.88333333333,20.2166666667,5.7,10,90,nan,nan
29.7805,-95.3863,18.9891666667,0,0.0,0.0,1.0,0.0,31.46,33,30,70,1009,Clear,7.91666666667,20.85,3.1,160,1,nan,nan
30.3072,-97.756,18.9891666667,1,0.0952,0.0555,0.8115,0.133,30.46,32,29,62,1011,Clouds,8.05,21.0166666667,4.6,130,90,nan,nan
29.7805,-95.3863,18.9894444444,0,0.0,0.0,1.0,0.0,31.46,33,30,70,1009,Clear,7.91666666667,20.85,3.1,160,1,nan,nan
40.6643,-73.9385,19.9897222222,0,0.0,0.0,1.0,0.0,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
32.8153,-117.135,16.9897222222,0,0.0,0.0,1.0,0.0,21.5,26,18,73,1011,Clouds,9.31666666667,22.35,3.6,310,90,nan,nan
35.2087,-80.8307,19.9902777778,-2,-0.125,0.05,0.95,0.0,27.33,28,27,74,1013,Clear,6.83333333333,19.9833333333,2.1,40,1,nan,nan
29.7805,-95.3863,18.9902777778,-4,-0.7358,0.427,0.573,0.0,31.46,33,30,70,1009,Clear,7.91666666667,20.85,3.1,160,1,nan,nan
36.2277,-115.264,16.9905555556,0,0.5994,0.0,0.837,0.163,32,32,32,31,1011,Rain,9.1,22.2833333333,4.1,80,0,0.89,nan
40.6643,-73.9385,19.9905555556,-5,0.2584,0.0,0.855,0.145,23.91,26,22,38,1015,Clouds,6.26666666667,19.6333333333,2.1,None,20,nan,nan
32.8153,-117.135,16.9908333333,0,0.4588,0.0,0.769,0.231,21.5,26,18,73,1011,Clouds,9.31666666667,22.35,3.6,310,90,nan,nan
34.0194,-118.4108,16.9933333333,2,0.24695,0.0,0.843,0.157,25.58,31,22,64,1009,Clear,9.35,22.45,2.1,None,1,nan,nan
37.7751,-122.4193,16.9936111111,0,0.0,0.0,1.0,0.0,22.76,29,18,47,1010,Clear,9.56666666667,22.8,3.6,210,1,nan,nan
39.7767,-86.1459,19.9944444444,3,0.5574,0.0,0.787,0.213,23.23,25,21,60,1018,Clouds,7.1,20.4333333333,2.1,340,40,nan,nan
